GA_ARTICLE#GA_CODEARTICLE#GA_LIBELLE#GA_CODEBARRE#GA_PVTTC
A3193861123838                   X#A3193861123838#top w. lace tape#4063055991040#24,99
A3193861123840                   X#A3193861123840#top w. lace tape#4063055991064#24,99
A3193861123842                   X#A3193861123842#top w. lace tape#4063055991088#24,99
A3193861123844                   X#A3193861123844#top w. lace tape#4063055991101#24,99
A3193861123846                   X#A3193861123846#top w. lace tape#4063055991125#24,99
A3193861451034                   X#A3193861451034#top w. lace tape#4063055991934#24,99
A3193861451036                   X#A3193861451036#top w. lace tape#4063055991941#24,99
A3193861451038                   X#A3193861451038#top w. lace tape#4063055991958#24,99
A3193861451040                   X#A3193861451040#top w. lace tape#4063055991965#24,99
A3193861451042                   X#A3193861451042#top w. lace tape#4063055991972#24,99
A3193861451044                   X#A3193861451044#top w. lace tape#4063055991989#24,99
A3193861451046                   X#A3193861451046#top w. lace tape#4063055991996#24,99
A3193861471734                   X#A3193861471734#top w. lace tape#4063055991019#24,99
A3193861471736                   X#A3193861471736#top w. lace tape#4063055991033#24,99
A3193861471738                   X#A3193861471738#top w. lace tape#4063055991057#24,99
A3193861471740                   X#A3193861471740#top w. lace tape#4063055991071#24,99
A3193861471742                   X#A3193861471742#top w. lace tape#4063055991095#24,99
A3193861471744                   X#A3193861471744#top w. lace tape#4063055991118#24,99
A3193861471746                   X#A3193861471746#top w. lace tape#4063055991132#24,99
A3193861471834                   X#A3193861471834#top w. lace tape#4063055976887#24,99
A3193861471836                   X#A3193861471836#top w. lace tape#4063055976900#24,99
A3193861471838                   X#A3193861471838#top w. lace tape#4063055976924#24,99
A3193861471840                   X#A3193861471840#top w. lace tape#4063055976948#24,99
A3193861471842                   X#A3193861471842#top w. lace tape#4063055976962#24,99
A3193861471844                   X#A3193861471844#top w. lace tape#4063055976986#24,99
A3193861471846                   X#A3193861471846#top w. lace tape#4063055977006#24,99
A3194001010834                   X#A3194001010834#basic shirt w.fine u-boat neck#4063055978560#24,99
A3194001010836                   X#A3194001010836#basic shirt w.fine u-boat neck#4063055978584#24,99
A3194001010838                   X#A3194001010838#basic shirt w.fine u-boat neck#4063055978607#24,99
A3194001010840                   X#A3194001010840#basic shirt w.fine u-boat neck#4063055978621#24,99
A3194001010842                   X#A3194001010842#basic shirt w.fine u-boat neck#4063055978645#24,99
